주차장코드	주차장명	주소	주차장 종류	주차장 종류명	운영구분	운영구분명	전화번호	총 주자면	유무료구분	유무료구분명	야간무료개방여부	야간무료개방여부명	평일 운영 시작시각(HHMM)	평일 운영 종료시각(HHMM)	주말 운영 시작시각(HHMM)	주말 운영 종료시각(HHMM)	공휴일 운영 시작시각(HHMM)	공휴일 운영 종료시각(HHMM)	최종데이터 동기화 시간	토요일 유,무료 구분	토요일 유,무료 구분명	공휴일 유,무료 구분	공휴일 유,무료 구분명	월 정기권 금액	노상 주차장 관리그룹번호	기본 주차 요금	기본 주차 시간(분 단위)	추가 단위 요금	추가 단위 시간(분 단위)	버스 기본 주차 요금	버스 기본 주차 시간(분 단위)	버스 추가 단위 시간(분 단위)	버스 추가 단위 요금	일 최대 요금	주차장 위치 좌표 위도	주차장 위치 좌표 경도
173359	대치2문화센터 공영주차장(구)	강남구 대치동 980-9	NW	노외 주차장	1	시간제 주차장	02-2176-0914	159	Y	유료	N	야간 미개방	0	2400	0	1200	0	1200	2020-07-08 11:12	N	무료	N	무료	180000		300	5	300	5	0	0	0	0		37.50227954	127.0642044
173389	구룡산제2호(구)	강남구 개포동 126-2	NW	노외 주차장	1	시간제 주차장	02-572-0648	132	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2020-07-08 18:05	Y	유료	Y	유료	120000		200	5	200	5	0	0	0	0		37.47725982	127.0664774
173424	일원역 공영주차장(시)	강남구 일원동 716-2	NW	노외 주차장	1	시간제 주차장		67	Y	유료	N	야간 미개방	900	1900	900	1500	0	0	2021-10-07 16:48	N	무료	Y	유료	70000		170	5	170	5	0	0	0	0		37.48468629	127.0840899
173437	탄천 공영주차장(구)	강남구 대치동 78-25	NW	노외 주차장	1	시간제 주차장	02-2176-0901	833	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2022-08-30 15:49	N	무료	N	무료	70000		100	5	100	5	0	0	0	0		37.508712	127.068195
173440	논현로32길15 공영주차장(구)	강남구 도곡동 516-2	NW	노외 주차장	1	시간제 주차장	02-2176-0907	16	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2020-07-08 10:53	N	무료	N	무료	180000		300	5	300	5	0	0	0	0		37.48430646	127.0434181
173447	도곡로 421 공영주차장(구)	강남구 대치동 939-21	NW	노외 주차장	1	시간제 주차장	02-552-8723	27	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2020-07-07 17:38	N	무료	N	무료	280000		400	5	400	5	0	0	0	0		37.49782255	127.0564863
173468	개포동공원 공영주차장(구)	강남구 개포동 183-2	NW	노외 주차장	1	시간제 주차장	02-2176-0916	149	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2020-07-08 18:11	N	무료	N	무료	120000		200	5	200	5	0	0	0	0		37.48949036	127.0662384
173472	대청역 공영주차장(구)	강남구 개포동 13-2	NW	노외 주차장	1	시간제 주차장	02-2176-0941	168	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2020-07-08 18:26	N	무료	N	무료	70000		100	5	100	5	0	0	0	0		37.49495555	127.0793237
173474	구룡산제1호(구)	강남구 개포동 567-23	NW	노외 주차장	1	시간제 주차장	02-577-0592	92	Y	유료	N	야간 미개방	900	1900	0	0	0	0	2020-07-08 16:18	Y	유료	Y	유료	120000		200	5	200	5	0	0	0	0		37.47791276	127.0660547
173499	도곡로 327 공영주차장(구)	강남구 역삼동 765-22	NW	노외 주차장	1	시간제 주차장	02-2176-0907	17	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2020-07-07 18:17	N	무료	N	무료	280000		400	5	400	5	0	0	0	0		37.496258	127.0517404
173534	강남치매지원센터 공영주차장(구)	강남구 삼성동 113-26	NW	노외 주차장	1	시간제 주차장	02-552-7849	115	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2021-08-12 10:44	N	무료	N	무료	280000		400	5	400	5	0	0	0	0		37.5102479	127.0464583
173553	수서역북 공영주차장(시)	강남구 수서동 735-0	NW	노외 주차장	1	시간제 주차장	02-3405-4076	568	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2022-08-18 9:11	N	무료	N	무료	168000		320	5	320	5	0	0	0	0		37.48801285	127.09995
173810	일원1동(기계식)(구)	강남구 일원동 684-8	NW	노외 주차장	1	시간제 주차장	02-2176-0945	68	Y	유료	N	야간 미개방	600	2359	0	0	0	0	2020-07-08 18:31	Y	유료	Y	유료	70000		100	5	100	5	0	0	0	0		37.48948769	127.0817655
1033125	압구정 428 공영주차장(구)	강남구 압구정동 428-0	NW	노외 주차장	1	시간제 주차장	02-2176-0971	344	Y	유료	N	야간 미개방	900	2100	900	2100	900	2100	2020-07-07 18:25	N	무료	N	무료	200000		400	5	400	5	0	0	0	0		37.52701729	127.0264712
1033754	포이초교 공영주차장(구)	강남구 개포동 1273-0	NW	노외 주차장	1	시간제 주차장	02-2176-0925	194	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2020-07-08 18:09	N	무료	N	무료	120000		200	5	200	5	0	0	0	0		37.47564571	127.052365
1040225	논현로22길(시)	강남구 개포동 1266-0	NW	노외 주차장	1	시간제 주차장	02-2176-0907	97	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2020-07-08 18:08	N	무료	N	무료	120000		200	5	200	5	0	0	0	0		37.48150119	127.0478133
1042402	역삼1문화센터 공영주차장(구)	강남구 역삼동 829-20	NW	노외 주차장	1	시간제 주차장	02-2176-0922	118	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2020-07-07 18:15	N	무료	N	무료	280000		400	5	400	5	0	0	0	0		37.49534845	127.0332376
1042405	언북초교 공영주차장(구)	강남구 청담동 27-0	NW	노외 주차장	1	시간제 주차장	02-2176-0908	225	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2020-07-08 10:55	N	무료	N	무료	180000		300	5	300	5	0	0	0	0		37.51999434	127.0456589
1042406	삼성1문화센터 공영주차장(구)	강남구 삼성동 161-2	NW	노외 주차장	1	시간제 주차장	02-2176-0910	70	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2020-07-07 18:19	N	무료	N	무료	280000		400	5	400	5	0	0	0	0		37.51434435	127.0626519
1042410	논현초교 공영주차장(구)	강남구 논현동 168-0	NW	노외 주차장	1	시간제 주차장	02-2176-0943	192	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2020-07-08 11:14	N	무료	N	무료	180000		300	5	300	5	0	0	0	0		37.50822463	127.0262625
1042421	언주초 공영주차장(구)	강남구 도곡동 922-0	NW	노외 주차장	1	시간제 주차장	02-2176-0929	191	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2020-07-08 18:22	N	무료	N	무료	120000		200	5	200	5	0	0	0	0		37.48664435	127.0370504
1364466	도곡로21길 7 공영주차장(구)	강남구 역삼동 795-25	NW	노외 주차장	1	시간제 주차장	02-2176-0920	75	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2020-07-07 18:10	N	무료	N	무료	280000		400	5	400	5	0	0	0	0		37.49250002	127.0388068
1364468	탄천제2호 공영주차장(구)	강남구 일원동 4-49	NW	노외 주차장	1	시간제 주차장	02-2176-0931	322	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2020-07-08 18:29	N	무료	N	무료	70000		100	5	100	5	0	0	0	0		37.49403327	127.087416
